City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,monzon,41.9108,0.1941,280.83,90,100,1.84,ES,1702052890
154,sierra grande,-41.606,-65.3557,285.34,76,70,5.06,AR,1702079149
155,odoyev,53.9393,36.6864,259.1,93,99,4.54,RU,1702041147
156,whitehorse,60.7161,-135.0538,268.58,80,75,5.14,CA,1701993040
157,cabo san lucas,22.8909,-109.9124,297.88,66,0,3.6,MX,1701995681
158,sapulpa,35.9987,-96.1142,289.88,75,20,4.63,US,1701990615
159,bardai,11.65,7.2333,291.64,22,72,3.62,NG,1702055211
160,grantsville,40.5999,-112.4644,276.53,67,96,2.68,US,1701993771
161,petropavlovsk-kamchatsky,53.0452,158.6483,269.48,77,75,3.58,RU,1702012175
162,panjab,34.388,67.0233,273.3,28,79,1.09,AF,1702038109
163,riversdale,18.1659,-76.9642,300.07,91,61,2.21,JM,1701988309
164,qalat,32.1058,66.9083,280.72,29,0,1.69,AF,1702038468
165,kikwit,-5.041,18.8162,293.66,98,98,0.67,CD,1702054119
166,grand falls-windsor,48.9332,-55.6649,269.54,81,98,2.68,CA,1702064763
167,cam ranh,11.9214,109.1591,302.13,70,20,5.66,VN,1702030715
168,peace river,56.2501,-117.286,263.32,92,0,4.12,CA,1701990882
169,bethanie,-26.4833,17.15,290.16,29,0,1.32,NA,1702056926
170,bredasdorp,-34.5322,20.0403,290.31,77,0,2.77,ZA,1702057386
171,upata,8.0086,-62.3989,295.48,96,97,1.86,VE,1701985880
172,arraial do cabo,-22.9661,-42.0278,296.87,92,19,5.63,BR,1702070691
173,lata,40.1629,-8.3327,285.82,94,92,1.75,PT,1702055256
174,hadibu,12.65,54.0333,298.43,66,12,5.87,YE,1702043872
175,erbendorf,49.8403,12.0447,267.42,92,75,0.0,DE,1702048280
176,prince george,53.9166,-122.753,268.85,94,100,1.54,CA,1701993034
177,pangai,-19.8,-174.35,303.21,70,20,4.63,TO,1702102084
178,severo-yeniseyskiy,60.3725,93.0408,241.25,93,100,1.34,RU,1702024873
179,mezhdurechenskiy,59.6,65.9333,243.47,88,98,2.0,RU,1702031789
180,matamata,-37.8106,175.7624,297.14,56,7,1.8,NZ,1702020536
181,bikenibeu village,1.3673,173.1241,300.13,89,100,2.06,KI,1702016429
182,ancud,-41.8697,-73.8203,282.1,91,0,1.25,CL,1702081235
183,minas de marcona,-15.2119,-75.1103,288.07,82,31,4.7,PE,1701991303
184,katsuren-haebaru,26.3369,127.8719,297.36,46,0,5.66,JP,1702024600
185,chake chake,-5.2459,39.7666,299.27,87,36,1.93,TZ,1702049110
186,santiago de cao,-7.9589,-79.2392,293.22,83,75,4.63,PE,1701991529
187,sooke,48.3746,-123.7276,281.8,85,97,10.29,CA,1701994848
188,jamestown,42.097,-79.2353,276.92,100,0,1.54,US,1701985521
189,chinoz,40.9364,68.7697,278.05,59,100,1.58,UZ,1702036613
190,kailua-kona,19.6406,-155.9956,301.13,71,75,5.14,US,1702007116
191,camarinas,43.1311,-9.1817,286.44,74,3,7.76,ES,1702054904
192,port mathurin,-19.6833,63.4167,299.15,73,9,3.75,MU,1702044982
193,tsiombe,-25.3,45.4833,297.96,71,58,5.89,MG,1702049970
194,winnemucca,40.973,-117.7357,276.18,70,40,6.69,US,1701994969
195,al kharijah,25.4514,30.5464,286.94,56,39,1.93,EG,1702048070
196,cochrane,51.1834,-114.4687,272.51,81,100,0.0,CA,1701991886
197,gordon,34.5004,-84.8666,281.56,60,93,1.67,US,1701988144
198,saint-philippe,-21.3585,55.7679,298.92,85,61,3.84,RE,1702047015
199,hilo,19.7297,-155.09,298.0,81,75,3.6,US,1702006889
200,toliara,-23.35,43.6667,300.11,61,84,2.55,MG,1702050162
201,faya-largeau,17.9257,19.1043,292.35,21,50,4.01,TD,1702051691
202,orichi,58.4036,49.0572,242.62,99,24,1.56,RU,1702036424
203,klaksvik,62.2266,-6.589,279.66,80,100,13.83,FO,1702047624
204,punta arenas,-53.15,-70.9167,280.21,81,0,0.0,CL,1702083520
205,kavieng,-2.5744,150.7967,301.1,78,100,3.03,PG,1702022185
206,masterton,-40.9597,175.6575,288.94,66,100,2.25,NZ,1702021141
207,norilsk,69.3535,88.2027,239.98,85,5,1.63,RU,0
208,keflavik,64.0049,-22.5624,274.39,55,0,5.66,IS,1702050072
209,gaspe,48.8334,-64.4819,269.1,68,75,5.66,CA,1701980518
210,selfoss,63.9331,-20.9971,271.95,60,24,4.4,IS,1702049760
211,mount gambier,-37.8333,140.7667,298.22,51,73,3.97,AU,1702028944
212,vanino,49.0869,140.2543,267.55,67,44,3.34,RU,1702017711
213,liwale,-9.7667,37.9333,295.68,94,88,0.4,TZ,1702050015
214,nova sintra,14.8667,-24.7167,294.92,70,1,3.26,CV,1702062542
215,cascais,38.6979,-9.4215,288.67,93,67,11.18,PT,1702055772
216,kingscliff,-28.2667,153.5667,302.44,61,0,5.14,AU,1702024407
217,vila franca do campo,37.7167,-25.4333,292.38,99,100,8.8,PT,1702059778
218,letterkenny,54.95,-7.7333,281.52,91,100,6.06,IE,1702051454
219,monrovia,6.3005,-10.7969,298.02,81,1,1.57,LR,1702060087
220,amahai,-3.3333,128.9167,303.71,64,68,2.81,ID,1702027514
221,novyy urgal,51.0736,132.5642,256.78,80,100,2.05,RU,1702019023
222,lihue,21.9789,-159.3672,298.92,77,75,3.6,US,1702007659
223,lagdo,9.05,13.7333,296.18,21,96,1.08,CM,1702053919
224,choyr,46.3611,108.3611,260.18,76,6,4.39,MN,1702026016
225,hasaki,35.7333,140.8333,291.09,32,0,1.9,JP,1702020190
226,imbituba,-28.24,-48.6703,295.22,98,100,3.14,BR,1702072964
227,cidreira,-30.1811,-50.2056,292.58,79,99,6.67,BR,1702073602
228,nyurba,63.2842,118.3319,228.77,99,96,1.53,RU,1702016889
229,wick,58.4333,-3.0833,279.18,87,100,15.43,GB,1702048918
230,uniontown,39.9001,-79.7164,279.34,57,10,1.34,US,1701986036
231,tangalle,6.024,80.7911,302.24,81,65,0.57,LK,1702038128
232,klyuchi,52.2667,79.1667,250.46,73,96,3.34,RU,1702031487
233,puerto deseado,-47.7503,-65.8938,283.62,71,6,6.77,AR,1702080678
234,quillacollo,-17.4,-66.2833,292.11,54,92,0.45,BO,1701989426
235,kalmunai,7.4167,81.8167,301.42,76,37,2.4,LK,1702037741
236,charters towers,-20.1,146.2667,306.37,25,45,5.59,AU,1702025138
237,kamina,-8.7386,24.9906,289.83,97,32,1.14,CD,1702053016
238,molde,62.7375,7.1591,267.06,73,3,4.63,NO,1702043964
239,mejit,10.2753,170.8646,300.87,81,97,10.44,MH,1702016073
240,seven pagodas,12.6264,80.1722,300.18,74,87,3.66,IN,1702037600
241,lerwick,60.1545,-1.1494,279.15,95,100,15.58,GB,1702047586
242,caleta de carquin,-11.0925,-77.6267,293.11,87,88,4.38,PE,1701991467
243,mount pearl,47.5166,-52.7813,269.9,82,75,16.46,CA,1702064419
244,tralee,52.2704,-9.7026,282.23,87,100,8.33,IE,1702052809
245,dzhangala,49.2167,50.3333,265.05,85,85,4.95,KZ,1702039255
246,touros,-5.1989,-35.4608,299.35,79,38,5.89,BR,1702067166
247,philadelphia,39.9523,-75.1638,277.6,86,100,0.0,US,1701984934
248,shreveport,32.5251,-93.7502,289.27,54,100,6.17,US,1701990564
249,suva,-18.1416,178.4415,300.86,78,75,1.54,FJ,1702017187
250,hammerfest,70.6634,23.6821,267.4,68,69,5.14,NO,0
251,sinabang,2.4803,96.3801,301.66,74,99,0.68,ID,1702034742
252,hinton,53.4001,-117.5857,269.09,92,100,1.08,CA,1701991963
253,joao pinheiro,-17.7425,-46.1725,296.66,43,7,1.04,BR,1702071072
254,khuzdar,27.7384,66.6434,287.05,18,0,1.98,PK,1702039119
255,kedrovyy,56.1667,91.8167,244.38,95,100,2.58,RU,1702027116
256,emerald,-23.5333,148.1667,308.48,22,0,8.78,AU,1702025093
257,rong'an,26.1247,119.1214,295.41,37,5,0.57,CN,1702026727
258,port lincoln,-34.7333,135.8667,297.24,50,100,3.79,AU,1702029604
259,ilhabela,-23.7781,-45.3581,296.73,92,100,2.49,BR,1702071590
260,gbarnga,6.9956,-9.4722,294.22,96,25,0.76,LR,1702059699
261,carutapera,-1.195,-46.02,298.8,85,21,2.93,BR,1702069297
262,weno,7.4515,151.8468,302.12,79,100,4.63,FM,1702020926
263,shalkar,47.8288,59.6258,261.25,49,100,7.33,KZ,1702037370
264,labrador city,52.9463,-66.9114,263.1,85,75,5.14,CA,1701979949
265,adrar,20.5022,-10.0711,289.96,15,34,4.12,MR,1702058405
266,atmore,31.0238,-87.4939,282.5,94,64,2.45,US,1701989272
267,nar'yan-mar,67.6713,53.087,258.77,96,100,3.58,RU,1702026621
268,at-bashi,41.1702,75.8106,270.66,49,50,0.55,KG,1702034880
269,trondheim,63.4305,10.3951,268.2,92,5,3.56,NO,1702042655
270,kyren,51.6828,102.1408,253.12,87,100,0.45,RU,1702026148
271,motueka,-41.1333,173.0167,292.26,59,21,3.37,NZ,1702021809
272,embi,48.8264,58.1442,259.29,74,28,5.53,KZ,1702037480
273,namibe,-15.1961,12.1522,296.3,74,99,3.64,AO,1702056785
274,utrik,11.2278,169.8474,300.78,76,76,9.98,MH,1702016218
275,tadine,-21.55,167.8833,297.39,71,100,7.83,NC,1702020118
276,aras-asan,8.8908,126.3033,301.87,73,56,2.28,PH,1702026912
277,butembo,0.15,29.2833,286.55,97,27,1.08,CD,1702051083
278,la ronge,55.1001,-105.2842,265.29,93,0,3.09,CA,1701988433
279,luganville,-15.5333,167.1667,299.7,85,100,4.29,VU,1702019603
280,tailai,46.3833,123.4,266.44,73,99,6.97,CN,1702022402
281,samana,19.2056,-69.3369,297.12,89,38,4.07,DO,1701986363
282,kongoussi,13.3258,-1.5347,295.48,14,87,3.78,BF,1702057140
283,qaqortoq,60.7167,-46.0333,274.09,64,100,5.49,GL,1702058036
284,palmer,42.1584,-72.3287,272.3,86,75,0.0,US,1701983852
285,brigantine,39.4101,-74.3646,277.6,87,75,0.0,US,1701984837
286,sola,-13.8833,167.55,300.23,81,100,6.82,VU,1702019332
287,waingapu,-9.6567,120.2641,303.78,66,98,2.19,ID,1702030237
288,muynoq,43.7683,59.0214,274.27,59,100,7.76,UZ,1702038409
289,nuuk,64.1835,-51.7216,276.49,41,92,6.17,GL,1702056903
290,mabaruma,8.2,-59.7833,296.43,99,33,0.77,GY,1701985233
291,dryden,49.7833,-92.7503,274.31,86,100,3.6,CA,1701987057
292,broken hill,-31.95,141.4333,314.29,11,78,14.65,AU,1702027841
293,saldanha,-33.0117,17.9442,290.18,90,0,3.7,ZA,1702057653
294,aasiaat,68.7098,-52.8699,261.85,86,100,0.81,GL,0
295,barrouallie,13.2333,-61.2667,298.28,81,82,5.26,VC,1701985070
296,moapa valley,36.5805,-114.4703,286.34,37,27,0.35,US,1701994929
297,kupiskis,55.8333,24.9667,265.45,91,100,4.0,LT,1702043283
298,fria,10.4167,-13.5833,296.6,96,56,0.91,GN,1702060336
299,trevelin,-43.0858,-71.4639,287.86,83,1,1.46,AR,1702080921
300,port elizabeth,-33.918,25.5701,292.31,82,100,11.32,ZA,1702055961
301,lianzhou,24.7811,112.3825,295.84,35,8,1.87,CN,1702028509
302,florida city,25.4479,-80.4792,295.38,76,75,1.54,US,1701988310
303,barra de santo antonio,-9.4047,-35.5072,297.75,84,89,3.48,BR,1702067609
304,pisco,-13.7,-76.2167,292.18,82,0,3.09,PE,1701991405
305,coquimbo,-29.9533,-71.3436,289.0,88,0,1.03,CL,1702078646
306,highfields,-27.4518,151.9463,305.67,28,0,6.14,AU,1702024687
307,susuman,62.7833,148.1667,251.56,96,100,0.43,RU,1702010116
308,markovo,57.3206,107.0881,238.51,92,68,0.86,RU,1702022983
309,bati,11.1833,40.0167,288.79,51,10,0.79,ET,1702047389
310,turpan,42.9333,89.1667,277.86,40,99,0.8,CN,1702031341
311,ostersund,63.1792,14.6357,258.49,92,100,0.0,SE,1702041837
312,novodvinsk,64.4165,40.8122,252.45,99,87,1.81,RU,1702034500
313,poxoreo,-15.8372,-54.3892,296.6,68,23,0.58,BR,1701986397
314,crixas,-14.5489,-49.9692,299.91,39,48,1.45,BR,1702071629
